Bet id, date,total odds,message,Amount,Possible win,Bet type,Status
4074988280,2024-04-09 15:26:44,1036.25,54374940409152644#1024#48613051#Arsenal#41888603#Leicester#41888605#Queens Park Rangers#41888611#Coventry#41888601#Leeds#47815287#over 0.5#48661733#over 0.5#49017615#over 1.5#42074065#Uhlenhorst or draw#41907877#over 0.5#48404163#Blackpool#49176823#over 0.5#48722509#over 1.5#47305977#over 0.5#48722429#Atletico PR or draw#48722473#Boca Juniors#48721961#Corinthians#48438099#draw or Worthing#47952809#Maidstone#47815979#draw or Chorley#46327411#over 0.5#48508199#Portugal#48508195#England#48037099#Whitehawk#48507555#over 0.5,1.000,3224.99,Prematch Bet,Lost
4074966655,2024-04-09 15:14:32,3.71,54374940409151432#1024#41888601#Leeds#41888603#over 1.5#48613065#yes#47815287#over 1.5,38.000,107.01,Prematch Bet,Lost
4073080778,2024-04-08 16:09:00,20.02,54374940408160900#1024#42134731#over 0.5#48415821#over 2.5#49194487#yes#49194489#over 1.5#47319277#HB Torshavn#48751097#BRONDBY#42438901#yes,9.690,191.50,Prematch Bet,Lost
4073060176,2024-04-08 15:54:58,10.21,54374940408155458#1024#42134731#over 1.5#48860067#H. Ramat Hasharon#48415821#Al Nasr#47294269#Mumbai City FC,9.690,90.91,Prematch Bet,Cancelled By User
4071395570,2024-04-07 18:22:42,5.17,54374940407182242#1024#42134713#ATALANTA#42146667#PORTO#48369279#over 1.5#41876497#Sparta Prague#48546765#over 1.5,8.000,30.82,Prematch Bet,Lost
4070986790,2024-04-07 16:53:39,2.27,54374940407165339#1024#46345571#Toluca#41966983#Al Ain,1.200,2.15,Prematch Bet,Lost
4070986635,2024-04-07 16:53:38,2.40,54374940407165338#1024#46374205#Molde#41966983#Al Ain,1.200,2.26,Prematch Bet,Lost
4070986558,2024-04-07 16:53:37,2.41,54374940407165337#1024#46374211#Sarpsborg#42820199#Triestina,1.200,2.27,Prematch Bet,Lost
4070986471,2024-04-07 16:53:36,2.23,54374940407165336#1024#41966983#Al Ain#48623361#Apoel Nicosia,1.200,2.12,Prematch Bet,Lost
4070299368,2024-04-07 14:34:09,14.27,54374940407143409#1024#41763539#CHELSEA#41763537#yes#41763541#yes#42134725#NAPOLI#42134713#ATALANTA#42005021#over 1.5#42134721#draw,10.000,103.27,Prematch Bet,Lost
4069953040,2024-04-07 13:02:33,2.11,54374940407130232#1024#48006889#FC Astana#42551775#Erzin Belediyespor,4.000,6.72,Prematch Bet,Lost
4069953097,2024-04-07 13:02:33,1.94,54374940407130233#1024#42551775#Erzin Belediyespor#41980617#FEYENOORD,4.000,6.23,Prematch Bet,Won
4069928197,2024-04-07 12:55:13,1.94,54374940407125513#1024#42551775#Erzin Belediyespor#41981687#GRONINGEN,3.000,4.67,Prematch Bet,Lost
4069893556,2024-04-07 12:44:20,1.48,54374940407124420#1024#42005025#Brest,5.000,6.14,Prematch Bet,Won
4064660191,2024-04-06 01:55:24,13.56,54374940406015524#1024#41763527#Arsenal#41763529#MAN CITY#41763525#yes#41763543#over 1.5#42023579#BAYERN#42023565#over 1.5#41980623#PSV#41888585#Leicester,20.000,196.43,Prematch Bet,Lost
4063734563,2024-04-05 19:45:57,5.81,54374940405194557#1024#42417153#Al Nasr#42005015#over 1.5#43770459#Pyramids#42417155#over 1.5#41894621#Waasland-Beveren,22.000,94.82,Prematch Bet,Cashed Out
4060939724,2024-04-04 16:25:57,25.65,54374940404162557#1024#41763517#yes#48189451#yes#47745885#FEYENOORD#47745895#AJAX#46375591#Young Boys#41763521#LIVERPOOL#46375589#over 1.5#48698991#Vukovar 91#42568335#Cherno More#48948031#Cr Belouizdad U21#47928625#over 1.5,26.000,478.84,Prematch Bet,Lost
4056589707,2024-04-02 20:06:39,16.76,54374940402200639#1024#41763515#TOTTENHAM#46925675#JUVENTUS#48481301#LYON#42416119#GALATASARAY#46673457#over 1.5#48426543#Linfield#42417131#over 1.5,0.190,66.80,Prematch Bet,Lost
4056531737,2024-04-02 19:54:57,25.00,54374940402195457#1024#41763519#NEWCASTLE#41763445#BOURNEMOUTH#41763515#yes#41763513#Nottingham Forest#42416119#GALATASARAY#46925675#over 0.5,15.000,269.27,Prematch Bet,Lost
4053036482,2024-04-01 08:56:38,9.88,54374940401085638#1024#42134693#BOLOGNA#41888553#Leeds#42134705#over 1.5#42134701#draw#41888549#Coventry#41888547#over 1.5#46454479#Rehden#42262207#Venezia,26.000,187.29,Prematch Bet,Lost
4051064383,2024-03-31 15:28:16,4.92,54374940331152816#1024#41763433#LIVERPOOL#41893503#GIRONA#42023561#STUTTGART#42004993#over 1.5#42005001#over 1.5,15.000,55.13,Prematch Bet,Lost
4049705696,2024-03-31 03:43:20,19.07,54374940331034320#1024#41763433#LIVERPOOL#41893499#Real Madrid#42021695#over 0.5#41893503#GIRONA#42005001#over 1.5#42004995#over 1.5#42004993#PSG,25.000,343.43,Prematch Bet,Lost
4046454457,2024-03-30 13:21:44,9.24,54374940330132144#1024#41893489#BARCELONA#42023545#LEVERKUSEN#41763425#BOURNEMOUTH#41763439#over 1.5#42134699#over 1.5#41893487#over 1.5#42134703#draw,15.000,101.19,Prematch Bet,Won
4046433041,2024-03-30 13:16:13,27.59,54374940330131613#1024#41893489#BARCELONA#42023545#LEVERKUSEN#42134707#over 1.5#41763427#over 0.5#41763431#draw#41763429#draw#41763437#yes#41763439#Nottingham Forest#42134711#TORINO#41984545#over 1.5,21.000,415.81,Prematch Bet,Lost
4022818475,2024-03-17 16:18:55,5.20,54374940317161854#1024#42134671#ATALANTA#48176077#under 2.5#42023527#LEVERKUSEN#42023523#DORTMUND#41893483#over 1.5#41980571#FEYENOORD,16.000,62.00,Prematch Bet,Lost
4015801486,2024-03-15 21:55:04,16.96,54374940315215504#1024#41893465#Real Sociedad#42023533#over 0.5#42134673#over 1.5#41755599#LECH POZNAN#46377425#yes#48420011#Belouizdad#42819969#Padova,31.000,379.44,Prematch Bet,Lost
4015759260,2024-03-15 21:46:38,19.16,54374940315214637#1024#41893465#Real Sociedad#42004975#over 1.5#42417093#yes#41981625#over 0.5#46377425#over 1.5#42146641#over 0.5#41755599#LECH POZNAN#42025079#over 0.5#42819969#Padova,21.000,289.90,Prematch Bet,Cancelled By User
4006989184,2024-03-12 10:36:34,6.93,54374940312103634#1024#46295649#yes#46295645#draw#47530557#over 1.5#47663621#BORUSSIA (MG)#42150009#over 1.5#42548685#FK TSC Backa Topola,40.000,204.26,Prematch Bet,Lost
4005245571,2024-03-11 16:37:17,21.34,54374940311163717#1024#41763393#yes#42134661#over 0.5#47991293#Al Nasr#41981645#over 1.5#41981653#over 0.5#41893445#over 1.5#47116559#Dinamo Batumi#41981651#Eindhoven#41981655#over 0.5,24.500,384.71,Prematch Bet,Lost
4001526564,2024-03-10 13:14:33,17.79,54374940310131433#1024#41893461#Real Madrid#42134655#over 0.5#42004955#over 0.5#42004959#MARSEILLE#41893457#over 0.5#41980541#AJAX#46375557#over 1.5#42567631#over 0.5#41763397#over 0.5#42134659#over 1.5#42256959#Muang Thong,6.000,76.92,Prematch Bet,Lost
4001468081,2024-03-10 12:59:08,6.05,54374940310125908#1024#41763397#yes#41763389#over 0.5#41763401#WEST HAM#41893461#Real Madrid#41763391#over 1.5#42023513#LEVERKUSEN,20.000,89.60,Prematch Bet,Lost
3996919588,2024-03-09 12:43:20,12.86,54374940309124320#1024#41893463#VALENCIA#42134653#CAGLIARI#42004961#over 1.5#41893451#over 1.5#47987831#over 1.5#42134669#over 0.5,13.000,121.24,Prematch Bet,Lost
3996415928,2024-03-09 10:12:20,20.40,54374940309101220#1024#41763387#Arsenal#41763399#over 1.5#41763395#yes#41763403#over 0.5#41763385#BOURNEMOUTH#41893451#GIRONA#42023509#under 2.5#42023519#yes#47987825#over 0.5,40.990,601.98,Prematch Bet,Lost
3993859049,2024-03-08 14:44:35,12.67,54374940308144435#1024#41893447#BARCELONA#42004965#over 1.5#42146609#PORTO#42416097#over 1.5#41888493#Leeds#42134667#over 1.5#41979269#yes#47987821#over 0.5,41.000,376.64,Prematch Bet,Won
3987891400,2024-03-06 00:58:03,3.12,54374940306005803#1024#46656521#Racing Club#48254677#Manaus#46511875#over 1.5#46849153#Isidro or draw,3.500,8.38,Prematch Bet,Lost
3986137229,2024-03-05 14:29:47,9.84,54374940305142947#1024#41888447#Coventry#46295653#over 1.5#48011889#Al Hilal#45790985#over 0.5#41888455#Leicester#41888453#Leeds#47815595#Altrincham,13.000,93.31,Prematch Bet,Won
3983616814,2024-03-04 07:55:57,16.32,54374940304075557#1024#41763381#Arsenal#42134639#over 1.5#47598529#yes#41893443#yes#46906981#Dubai United FC#48059149#over 1.5#42567623#Arda Kurdzhali,26.300,309.92,Prematch Bet,Lost
3983010830,2024-03-03 21:26:13,13.53,54374940303212613#1024#42004943#over 1.5#41893423#over 1.5#46428387#Saprissa#46477799#Cartagena#42146591#over 0.5#42134645#over 0.5#44593240#over 1.5#47288243#Tecnico,26.000,254.76,Prematch Bet,Lost
3979384703,2024-03-02 23:52:12,4.60,54374940302235212#1024#42644133#UA Zacatecas#42644129#Tritones Vallarta MFC#47100289#over 1.5#46477703#over 0.5#47288237#over 1.5,29.000,100.02,Prematch Bet,Lost
3975063905,2024-03-02 07:08:18,36.44,54374940302070818#1024#41763373#Aston Villa#41763377#NEWCASTLE#41763363#CHELSEA#41763383#TOTTENHAM#41763379#LIVERPOOL#41893435#Real Madrid#47097639#Charlestown City Blues,3.600,93.92,Prematch Bet,Lost
3975060685,2024-03-02 07:06:30,27.94,54374940302070630#1024#41763377#NEWCASTLE#41763373#Aston Villa#41763363#CHELSEA#41763383#TOTTENHAM#41763379#LIVERPOOL#41893435#Real Madrid,2.700,54.12,Prematch Bet,Cancelled By User
3975057017,2024-03-02 07:04:23,8.79,54374940302070423#1024#41763383#TOTTENHAM#41763363#draw or CHELSEA#41763379#LIVERPOOL#41763373#yes#41893435#over 0.5#47090521#Brisbane#41763377#over 0.5,23.300,149.77,Prematch Bet,Won
3969034573,2024-02-28 19:25:43,5.93,54374940228192543#1024#46569379#Inter#47609261#Wolves#47609263#LIVERPOOL,1.500,6.57,Prematch Bet,Won
3966348760,2024-02-27 17:40:18,15.50,54374940227174018#1024#47297443#over 1.5#47609257#MAN CITY#47648169#LYON#44541590#over 0.5#46036963#yes#47576619#Energie Cottbus#46114619#over 1.5#47609247#over 1.5,10.000,112.01,Prematch Bet,Lost
3963683047,2024-02-26 10:42:27,14.68,54374940226104227#1024#41763357#Brentford#42134625#ROMA#42146583#draw or BRAGA#42149959#Zorya Lugansk,6.440,70.19,Prematch Bet,Lost
3963180918,2024-02-25 22:20:31,9.08,54374940225222031#1024#41893411#Real Madrid#42004925#MARSEILLE#48032487#over 2.5#46364435#over 1.5#46511859#C. Celaya#46477667#over 1.5,2.000,13.28,Prematch Bet,Lost
3962817889,2024-02-25 20:32:56,8.80,54374940225203256#1024#42820667#S. Levante,1.000,6.44,Prematch Bet,Lost
3961953402,2024-02-25 17:12:39,5.22,54374940225171239#1024#42023339#DORTMUND#42004919#PSG#42146585#over 1.5#42146587#PORTO#42134621#Inter,10.000,38.90,Prematch Bet,Lost
3961930132,2024-02-25 17:06:51,13.84,54374940225170651#1024#42004919#PSG#42023349#over 1.5#41893421#over 1.5#42146587#PORTO#42134623#yes#47260621#LIVERPOOL,20.000,200.41,Prematch Bet,Lost
